file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00644_0005_24564_to_29087,ད་དགེ་བའི་བཤེས་གཉེན་ཐེབས་ཆག་ཟོལ་འདྲ་བོ་ཅིག་ཡིན་པ་ཡིན་ན་ནི།  ,da dge ba'i bshes gnyen thebs chag zol 'dra bo cig yin pa yin na ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00644_0005_24564_to_29087.wav,STT_TT,3,60,4.523,wav16k/STT_TT00644_0005_24564_to_29087.wav,ད་དགེ་བའི་བཤེས་གཉེན་ཐེབས་ཆག་ཟོལ་འདྲ་བོ་ཅིག་ཡིན་པ་ཡིན་ན་ནི།
STT_CS-L-2012_2012-M_M-D_D-B01_B01-6_6-R_R-01_0205_1515622_to_1523546,ཨབ་པྀར་ཋི་སི་ཧྦི་ལ་གཞས་མང་ཤོས་སུ་དར་གི་ཡོད་རེད་། ཁོ་རང་ཧ་གོ་ཡི་ཡོད་བེ། ཨོ། ཡཱང་སེ་བྷོབ། མ་རེད། ཡཱང་སེ་བྷོབ་བྷུ་དྷུ། མ་རེད་ཡཱང་སེ་བྷོབ་ཀ་ཅི་གཞས་དར་གྱི་ཡོད་རེད་མ་གཏོགས་ ,ab p-ir Thi si h+bi la gzhas mang shos su dar gi yod red /_kho rang ha go yi yod be/_o/_yAng se b+hob/_ma red/_yAng se b+hob b+hu d+hu/_ma red yAng se b+hob ka ci gzhas dar gyi yod red ma gtogs _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B01_B01-6_6-R_R-01_0205_1515622_to_1523546.wav,STT_CS,3,167,7.924,wav16k/STT_CS-L-2012_2012-M_M-D_D-B01_B01-6_6-R_R-01_0205_1515622_to_1523546.wav,བ་པྀར་ཋི་སི་བྷི་གཞས་མང་ཤོས་ཡོད་བ། སུ་དར་གི་ཡོད་རེད་ཧ་གོ་ཡི་ཡོད་བེ། ཡང་སྀབ། མ་རེད། ཡང་སྀ་བྷ་པུ་ི། མ་རེད། ཡང་སྀ་བྷ་ཕཱར་ཋི་གཞས་དར་གྱི་ཡོད་རེད་མ་གཏོགས།
STT_CS-L-2007_2008-M_M-D_D-B06_B07-6_6-R_R-01_0030_291766_to_294803,སྐར་མ་ཆུ་ཚོད་ཕྱེད་ཀ་ཉར་ལབ་སོང་། དེ་ནས་ཅོ་ཅོ་ཁོ་རང་ལེན་ག་སླེབས་དགོ་ལབ་སོང་།  ,skar ma chu tshod phyed ka nyar lab song /_de nas co co kho rang len ga slebs dgo lab song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2007_2008-M_M-D_D-B06_B07-6_6-R_R-01_0030_291766_to_294803.wav,STT_CS,3,76,3.037,wav16k/STT_CS-L-2007_2008-M_M-D_D-B06_B07-6_6-R_R-01_0030_291766_to_294803.wav,སྐར་མ་ཆུ་ཚོད་ཕྱེད་ཀ་ཉར་ལབ་སོང་། དེ་ནས་ཇོ་ཇོ་ཁོ་རང་ལམ་ག་སླེབས་དགོས་ལབ་སོང་།
STT_NS_M0223_0240_1553036_to_1555253,དེ་ལས་ཡག་ག་ད་ང་ཚོ་སྒོར་གཞས་འདྲ་བོ་འཁྲབ་ཨེ་ནས།  ,de las yag ga da nga tsho sgor gzhas 'dra bo 'khrab e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0223_0240_1553036_to_1555253.wav,STT_NS,3,47,2.217,wav16k/STT_NS_M0223_0240_1553036_to_1555253.wav,དེ་ལས་ཡག་ག་ད་ང་ཚོ་སྒོར་གཞས་འདྲ་བོ་འཁྲབ་ཨེ་ནས།
STT_TT00289_654.400-655.050,ཆ་ཚང་ཕར་བློས་བཏང་ ,cha tshang phar blos btang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00289_654.400-655.050.wav,STT_TT,3,18,0.6499999999999773,wav16k/STT_TT00289_654.400-655.050.wav,ཆ་ཚང་བར་ྡད་
STT_TT00285_1516.550-1517.550,མང་པོའི་ནང་ལ་ངག་ལ་བརྟག་དཔྱད།  ,mang po'i nang la ngag la brtag dpyad/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00285_1516.550-1517.550.wav,STT_TT,3,30,1.0,wav16k/STT_TT00285_1516.550-1517.550.wav,མང་པོའི་ནང་ལ་ངག་གི་བརྟག་དཔྱད།
STT_TT00374_0046_209945_to_212569,ཁ་འདོན་བྱས་པ་ཡིན་ཟེ་མེད་པ་བྱས། དེ་བ་ཕྱག་འཚལ་པ་ཡིན་ཟེ་བསྟན་ཡ་མེད་པ་བྱས།  ,kha 'don byas pa yin ze med pa byas/_de ba phyag 'tshal pa yin ze bstan ya med pa byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00374_0046_209945_to_212569.wav,STT_TT,3,72,2.624,wav16k/STT_TT00374_0046_209945_to_212569.wav,ཁ་འདོན་བྱས་པ་ཡིན་ཟེ་ཡེ་མེད་པ་བྱས། དེ་བ་ཕྱག་འཚལ་བ་ཡིན་ཟེ་བསྟན་ཡ་མེད་པ་བྱས།
STT_TT00285_1260.100-1260.600,དེ་ཡིན་ཙང་།  ,de yin tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00285_1260.100-1260.600.wav,STT_TT,3,13,0.5,wav16k/STT_TT00285_1260.100-1260.600.wav,དེ་ཡ་ད་ཙང་།
STT_TT00215_00936.150-00938.500,འགྲོགས་ཟེར་ཡ་དེ་ཐེངས་མ་གཅིག་གཉིས་ཅིག་བརྗེས་པའི་སྐད་ཆ་མ་རེད།  ,'grogs zer ya de thengs ma gcig gnyis cig brjes pa'i skad cha ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00215_00936.150-00938.500.wav,STT_TT,3,61,2.3500000000000227,wav16k/STT_TT00215_00936.150-00938.500.wav,འབྲོག་ཟེར་ཡ་འདི། ཐེངས་མ་གཅིག་གཉིས་ཅིག་མཇལ་བའི་སྐད་ཆ་མ་རེད།
STT_TT00521_0045_268930_to_271298,ཨེ་ནས། མཉམ་བཞག་གི་བདེ་སྟོང་དྲན་པ་བྱས་ནས་དེའི་ ,e nas/_mnyam bzhag gi bde stong dran pa byas nas de'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00521_0045_268930_to_271298.wav,STT_TT,3,46,2.368,wav16k/STT_TT00521_0045_268930_to_271298.wav,ཨེ་ནས། མཉམ་བཞག་གི་བདེ་སྟོང་དྲན་པ་བྱས་ནས་དེ།
